DOWNLOADED,ALL
5VUC.pdb.gz,6N6H
5VUB.pdb.gz,6N6A
5VUA.pdb.gz,6N6C
5VTT.pdb.gz,6MUE
5VTS.pdb.gz,6N6E
5VTL.pdb.gz,6N6D
5VTH.pdb.gz,6N7O
5VTD.pdb.gz,6MX9
5VT2.pdb.gz,6MWS
5VT1.pdb.gz,6MX5
5VSZ.pdb.gz,6N90
5VSX.pdb.gz,6O0P
5VST.pdb.gz,6O0K
5VSN.pdb.gz,6O0M
5VS7.pdb.gz,6NOE
5VRT.pdb.gz,6NNY
5VRL.pdb.gz,6NNX
5VRJ.pdb.gz,6O1Q
5VR2.pdb.gz,6O1B
5VQN.pdb.gz,6NP9
5VQL.pdb.gz,6O0W
5VQK.pdb.gz,6O33
5VQJ.pdb.gz,6O34
5VQG.pdb.gz,6O2H
5VPX.pdb.gz,6O48
5VPT.pdb.gz,6NRL
5VPS.pdb.gz,6NRE
5VPD.pdb.gz,6O57
5VPC.pdb.gz,6NSX
5VPB.pdb.gz,6O4M
5VPA.pdb.gz,6O4O
5VP9.pdb.gz,6NTY
5VP8.pdb.gz,6NTX
5VP3.pdb.gz,6NU9
5VON.pdb.gz,6O62
5VOM.pdb.gz,6O5G
5VOJ.pdb.gz,6O5K
5VOG.pdb.gz,6O5A
5VO7.pdb.gz,6O6W
5VO6.pdb.gz,6O6N
5VO5.pdb.gz,6NUP
5VO4.pdb.gz,6O6G
5VNV.pdb.gz,6NUJ
5VNU.pdb.gz,6NUI
5VNR.pdb.gz,6O6I
5VNQ.pdb.gz,6NUL
5VMZ.pdb.gz,6NX4
5VMY.pdb.gz,6O8L
5VMX.pdb.gz,6O8K
5VMW.pdb.gz,6O8M
5VMV.pdb.gz,6NWB
5VMU.pdb.gz,6NWC
5VMO.pdb.gz,6NYT
5VMN.pdb.gz,6NYD
5VML.pdb.gz,6NYC
5VM6.pdb.gz,6ODD
5VM0.pdb.gz,6OCV
5VLX.pdb.gz,6OD9
5VLV.pdb.gz,6OE2
5VLN.pdb.gz,6OGH
5VL8.pdb.gz,6OGK
5VL5.pdb.gz,6AA3
5VL4.pdb.gz,6AA5
5VKY.pdb.gz,6AA4
5VKX.pdb.gz,6AAF
5VKV.pdb.gz,6AC0
5VKO.pdb.gz,6AC2
5VKL.pdb.gz,6ABT
5VKG.pdb.gz,6AC5
5VKF.pdb.gz,6ABN
5VJU.pdb.gz,6AAW
5VJT.pdb.gz,6AD5
5VJS.pdb.gz,6ABZ
5VJJ.pdb.gz,6ADF
5VJ8.pdb.gz,6AF5
5VJ2.pdb.gz,6AF7
5VIX.pdb.gz,6AF9
5VIA.pdb.gz,6AEM
5VHU.pdb.gz,6AEA
5VHT.pdb.gz,6AG5
5VHG.pdb.gz,6AG4
5VH5.pdb.gz,6AFL
5VH1.pdb.gz,6AFR
5VH0.pdb.gz,6AFD
5VGY.pdb.gz,6AFC
5VGT.pdb.gz,6AFF
5VGS.pdb.gz,6AFE
5VGO.pdb.gz,6AFH
5VGL.pdb.gz,6AFG
5VGB.pdb.gz,6AFJ
5VG9.pdb.gz,6AFI
5VG1.pdb.gz,6AFB
5VG0.pdb.gz,6AFA
5VFN.pdb.gz,6AGW
5VFM.pdb.gz,6AGY
5VFK.pdb.gz,6AGN
5VFJ.pdb.gz,6AGP
5VFI.pdb.gz,6AGR
5VFH.pdb.gz,6AHX
5VFG.pdb.gz,6AHH
5VFF.pdb.gz,6AHL
5VFE.pdb.gz,6AJX
5VFD.pdb.gz,6AJW
5VF6.pdb.gz,6AJZ
5VF2.pdb.gz,6AJY
5VF0.pdb.gz,6AK2
5VET.pdb.gz,6AJV
5VES.pdb.gz,6AL9
5VEI.pdb.gz,6AKQ
5VE9.pdb.gz,6AKP
5VDK.pdb.gz,6AKK
5VDE.pdb.gz,6AKM
5VDC.pdb.gz,6AKL
5VDB.pdb.gz,6AKO
5VDA.pdb.gz,6ALI
5VD9.pdb.gz,6ALK
5VD8.pdb.gz,6AN4
5VD7.pdb.gz,6AMR
5VD6.pdb.gz,6AMK
5VD5.pdb.gz,6AMF
5VD4.pdb.gz,6AOA
5VD2.pdb.gz,6AO7
5VCK.pdb.gz,6ANX
5VC9.pdb.gz,6AO9
5VC6.pdb.gz,6ANZ
5VC5.pdb.gz,6ANO
5VC4.pdb.gz,6ANR
5VC3.pdb.gz,6ANJ
5VC1.pdb.gz,6AP5
5VBT.pdb.gz,6AP0
5VBS.pdb.gz,6AQB
5VBR.pdb.gz,6B26
5VBQ.pdb.gz,6B28
5VBP.pdb.gz,6APY
5VBO.pdb.gz,6APM
5VBM.pdb.gz,6APO
5VBE.pdb.gz,6APQ
5VBD.pdb.gz,6B25
5VBB.pdb.gz,6B1G
5VB9.pdb.gz,6B3C
5VB8.pdb.gz,6B3F
5VB7.pdb.gz,6B38
5VB6.pdb.gz,6AR0
5VB5.pdb.gz,6B36
5VB3.pdb.gz,6ASA
5VAS.pdb.gz,6ASE
5VAR.pdb.gz,6B42
5VAP.pdb.gz,6B3H
5VAC.pdb.gz,6B3G
5VA7.pdb.gz,6ARK
5VA4.pdb.gz,6B3N
5VA0.pdb.gz,6B4U
5V94.pdb.gz,6AT8
5V92.pdb.gz,6A3K
5V91.pdb.gz,6A4Q
5V90.pdb.gz,6A57
5V89.pdb.gz,6A4X
5V82.pdb.gz,6A59
5V80.pdb.gz,6A58
5V77.pdb.gz,6A4N
5V67.pdb.gz,6A4P
5V65.pdb.gz,6A4O
5V39.pdb.gz,6A6D
5V35.pdb.gz,6A6J
5V28.pdb.gz,6A64
5V27.pdb.gz,6A63
5V18.pdb.gz,6A66
5V9O.pdb.gz,6A65
5V8Z.pdb.gz,6A68
5V8Q.pdb.gz,6A62
5V8G.pdb.gz,6A7E
5V8C.pdb.gz,6A7D
5V8A.pdb.gz,6A7K
5V7Z.pdb.gz,6A7C
5V7T.pdb.gz,6A75
5V7M.pdb.gz,6A6W
5V7L.pdb.gz,6A71
5V7K.pdb.gz,6A72
5V7F.pdb.gz,6A8D
5V7E.pdb.gz,6A7S
5V7D.pdb.gz,6A9C
5V7C.pdb.gz,6A8W
5V6S.pdb.gz,6A8R
5V6K.pdb.gz,6A9X
5V6I.pdb.gz,6B4N
5V6F.pdb.gz,6AUC
5V5Y.pdb.gz,6AUE
5V5W.pdb.gz,6AUH
5V5R.pdb.gz,6AU7
5V5Q.pdb.gz,6B7G
5V5J.pdb.gz,6B6J
5V5H.pdb.gz,6AUL
5V4K.pdb.gz,6AUO
5V4I.pdb.gz,6B8G
5V4H.pdb.gz,6B8F
5V4G.pdb.gz,6B8K
5V4F.pdb.gz,6B8C
5V3V.pdb.gz,6B7V
5V3U.pdb.gz,6B7U
5V3T.pdb.gz,6B7W
5V3Q.pdb.gz,6B9H
5V3N.pdb.gz,6B8W
5V3I.pdb.gz,6B8R
5V3D.pdb.gz,6AYL
5V03.pdb.gz,6AY5
5V2N.pdb.gz,6AZE
5V02.pdb.gz,6AZ5
5V1V.pdb.gz,6BBK
5V1M.pdb.gz,6BBE
5V1B.pdb.gz,6BBD
5V1A.pdb.gz,6BCS
5V0S.pdb.gz,6BDC
5V0R.pdb.gz,6BDE
5V0F.pdb.gz,6BDD
5UZM.pdb.gz,6BFB
5UZG.pdb.gz,6BFH
5UYJ.pdb.gz,6BGG
5UY9.pdb.gz,6BI6
5UY6.pdb.gz,6BHO
5UXY.pdb.gz,6BHN
5UXT.pdb.gz,6TLX
5UXI.pdb.gz,6TOJ
5UXC.pdb.gz,6TOI
5UWZ.pdb.gz,6TOL
5UWG.pdb.gz,6TOK
5UVZ.pdb.gz,6TON
5UVY.pdb.gz,6TOM
5UVX.pdb.gz,6TOO
5UVV.pdb.gz,6TOB
5UVU.pdb.gz,6TOF
5UVT.pdb.gz,6TOH
5UVS.pdb.gz,6TOG
5UVQ.pdb.gz,6TPH
5UVM.pdb.gz,6U0X
5UVL.pdb.gz,6U19
5UVJ.pdb.gz,6U0W
5UVD.pdb.gz,6TQP
5UUY.pdb.gz,6TQQ
5UUP.pdb.gz,6TPZ
5UUL.pdb.gz,6TQB
5UUK.pdb.gz,6TPT
5UUI.pdb.gz,6TPY
5UUH.pdb.gz,6TPX
5UUG.pdb.gz,6U3L
5UUF.pdb.gz,6TS0
5UU4.pdb.gz,6TS1
5UTG.pdb.gz,6U41
5UTD.pdb.gz,6U3S
5UTC.pdb.gz,6TRR
5UTB.pdb.gz,6U3R
5UTA.pdb.gz,6U3B
5UT9.pdb.gz,6TR9
5UT8.pdb.gz,6TR8
5UT7.pdb.gz,6U4N
5UT6.pdb.gz,6U50
5UT5.pdb.gz,6U53
5UT4.pdb.gz,6TSS
5UT3.pdb.gz,6TSF
5UT2.pdb.gz,6TSJ
5UT1.pdb.gz,6TSA
5UT0.pdb.gz,6TRZ
5USZ.pdb.gz,6U64
5USS.pdb.gz,6U5G
5USQ.pdb.gz,6U5C
5USO.pdb.gz,6U5E
5USN.pdb.gz,6U5D
5USG.pdb.gz,6U4U
5USE.pdb.gz,6TSX
5USB.pdb.gz,6U4W
5USA.pdb.gz,6U6P
5US5.pdb.gz,6U6R
5US2.pdb.gz,6U6Q
5URZ.pdb.gz,6U6S
5URY.pdb.gz,6U6V
5URV.pdb.gz,6U6N
5URU.pdb.gz,6U7P
5URP.pdb.gz,6U81
5URN.pdb.gz,6U83
5UR7.pdb.gz,6TVL
5UR6.pdb.gz,6U7O
5UR5.pdb.gz,6TX5
5UR4.pdb.gz,6TX4
5UQP.pdb.gz,6TX7
5UQJ.pdb.gz,6TX6
5UQI.pdb.gz,6SR5
5UQ4.pdb.gz,6T5S
5UPZ.pdb.gz,6T5V
5UPJ.pdb.gz,6T5B
5UPD.pdb.gz,6T6J
5UP8.pdb.gz,6T6C
5UP7.pdb.gz,6SVS
5UOV.pdb.gz,6T84
5UOU.pdb.gz,6T7O
5UOS.pdb.gz,6SWO
5UOO.pdb.gz,6SWN
5UNJ.pdb.gz,6SWQ
5UMY.pdb.gz,6SWP
5UMX.pdb.gz,6SYG
5UMS.pdb.gz,6SZC
5UMR.pdb.gz,6TAZ
5UMQ.pdb.gz,6TAN
5UMP.pdb.gz,6TAM
5UMM.pdb.gz,6TCC
5UMC.pdb.gz,6TBZ
5UM4.pdb.gz,6TD7
5ULT.pdb.gz,6TCE
5ULN.pdb.gz,6TDG
5ULL.pdb.gz,6TDF
5ULC.pdb.gz,6TDH
5ULA.pdb.gz,6TX9
5UL8.pdb.gz,6TX8
5UKY.pdb.gz,6TWE
5UKV.pdb.gz,6TYY
5UKE.pdb.gz,6TZ3
5UKD.pdb.gz,6TYJ
5UJP.pdb.gz,6TZW
5UJN.pdb.gz,6UBG
5UJL.pdb.gz,6UD2
5UJF.pdb.gz,6UCR
5UJE.pdb.gz,6UDV
5UJC.pdb.gz,6UDU
5UJ5.pdb.gz,6UDT
5UJ4.pdb.gz,6UDI
5UJ3.pdb.gz,6UFE
5UJ0.pdb.gz,6UEY
5UIV.pdb.gz,6UF1
5UII.pdb.gz,6UES
5UIH.pdb.gz,6UET
5UIC.pdb.gz,6UGG
5UHV.pdb.gz,6UFJ
5UHS.pdb.gz,6UFK
5UHM.pdb.gz,6UFM
5UHJ.pdb.gz,6UI0
5UGW.pdb.gz,6UIZ
5UGU.pdb.gz,6UIU
5UGI.pdb.gz,6UIY
5UGG.pdb.gz,6UKK
5UGD.pdb.gz,6UKC
5UG7.pdb.gz,6UMV
5UG6.pdb.gz,6UMY
5UG2.pdb.gz,6UMZ
5UG1.pdb.gz,6UN0
5UFZ.pdb.gz,6UN2
5UFY.pdb.gz,6UMU
5UFT.pdb.gz,6UOF
5UFP.pdb.gz,6UPJ
5UFO.pdb.gz,6V1L
5UFK.pdb.gz,6V1K
5UFF.pdb.gz,6V1D
5UFE.pdb.gz,6V1F
5UFB.pdb.gz,6V1E
5UF2.pdb.gz,6V1H
5UF0.pdb.gz,6V0X
5UEZ.pdb.gz,6V14
5UEY.pdb.gz,6V0U
5UEX.pdb.gz,6V1U
5UEW.pdb.gz,6V3N
5UEV.pdb.gz,6US3
5UEU.pdb.gz,6US2
5UET.pdb.gz,6V2S
5UES.pdb.gz,6V4G
5UER.pdb.gz,6V4F
5UEQ.pdb.gz,6US4
5UEP.pdb.gz,6US6
5UEO.pdb.gz,6E6Q
5UEI.pdb.gz,6DV4
5UEH.pdb.gz,6E6S
5UEB.pdb.gz,6E6V
5UE5.pdb.gz,6E6H
5UE2.pdb.gz,6E6G
5UE0.pdb.gz,6E6L
5UD8.pdb.gz,6E6K
5UCU.pdb.gz,6E8C
5UCT.pdb.gz,6E8H
5UCC.pdb.gz,6DVU
5UC6.pdb.gz,6E7J
5UBE.pdb.gz,6DXG
5UBD.pdb.gz,6DXI
5UBB.pdb.gz,6DXH
5UBA.pdb.gz,6E9A
5UB8.pdb.gz,6E93
5UAZ.pdb.gz,6E8T
5UAE.pdb.gz,6E94
5UA5.pdb.gz,6E8W
5UA4.pdb.gz,6E8I
5UA2.pdb.gz,6E8K
5U99.pdb.gz,6E8M
5U94.pdb.gz,6DYI
5U87.pdb.gz,6DXR
5U86.pdb.gz,6DZ6
5U85.pdb.gz,6DYX
5U77.pdb.gz,6DZ1
5U75.pdb.gz,6DZQ
5U66.pdb.gz,6EI8
5U65.pdb.gz,6EJS
5U64.pdb.gz,6EK9
5U61.pdb.gz,6EIZ
5U60.pdb.gz,6EKN
5U53.pdb.gz,6EKE
5U49.pdb.gz,6EKG
5U48.pdb.gz,6EKH
5U39.pdb.gz,6ELV
5U38.pdb.gz,6ELW
5U35.pdb.gz,6ELT
5U32.pdb.gz,6ELD
5U28.pdb.gz,6EMO
5U27.pdb.gz,6EMQ
5U26.pdb.gz,6EMP
5U9K.pdb.gz,6EMT
5U9I.pdb.gz,6ENW
5U9D.pdb.gz,6ENP
5U9B.pdb.gz,6ENR
5U9A.pdb.gz,6ENT
5U7H.pdb.gz,6ENS
5U7F.pdb.gz,6ENV
5U7E.pdb.gz,6F0Y
5U6V.pdb.gz,6EOX
5U6F.pdb.gz,6F19
5U5Z.pdb.gz,6F18
5U5Y.pdb.gz,6F17
5U5X.pdb.gz,6EOL
5U5W.pdb.gz,6EOG
5U5V.pdb.gz,6F0F
5U5U.pdb.gz,6EPR
5U5S.pdb.gz,6EQ3
5U5O.pdb.gz,6F1R
5U5C.pdb.gz,6EQ2
5U4V.pdb.gz,6EPT
5U4U.pdb.gz,6EQ5
5U4K.pdb.gz,6EPS
5U4G.pdb.gz,6EQ4
5U4F.pdb.gz,6F1S
5U4E.pdb.gz,6F24
5U4D.pdb.gz,6EPV
5U4C.pdb.gz,6EQ7
5U4B.pdb.gz,6EPU
5U4A.pdb.gz,6EQ6
5U3H.pdb.gz,6EPX
5U3E.pdb.gz,6EPW
5U2L.pdb.gz,6EPJ
5U2K.pdb.gz,6F1L
5U2J.pdb.gz,6F1K
5U2F.pdb.gz,6F1M
5U2E.pdb.gz,6F1P
5U2C.pdb.gz,6F1O
5U1P.pdb.gz,6EPA
5U1M.pdb.gz,6F1A
5U0I.pdb.gz,6F1D
5U0G.pdb.gz,6EQY
5U0F.pdb.gz,6F2K
5U0E.pdb.gz,6F2J
5U0D.pdb.gz,6ER0
5TZP.pdb.gz,6F2Q
5TZM.pdb.gz,6ER1
5TZL.pdb.gz,6F2I
5TZG.pdb.gz,6ETC
5TZ0.pdb.gz,6ESU
5TYS.pdb.gz,6ET6
5TYR.pdb.gz,6ESM
5TYH.pdb.gz,6ESP
5TYA.pdb.gz,6ESS
5TY9.pdb.gz,6F53
5TY8.pdb.gz,6EU8
5TY4.pdb.gz,6ETN
5TY3.pdb.gz,6F5N
5TY1.pdb.gz,6ETM
5TXY.pdb.gz,6ETP
5TX6.pdb.gz,6ETO
5TX4.pdb.gz,6ETR
5TX2.pdb.gz,6ETQ
5TWO.pdb.gz,6ETL
5TWH.pdb.gz,6ETK
5TWG.pdb.gz,6F7E
5TWE.pdb.gz,6EUW
5TWD.pdb.gz,6F6Y
5TW6.pdb.gz,6F6O
5TVZ.pdb.gz,6F8E
5TVI.pdb.gz,6EWG
5TVD.pdb.gz,6F8F
5TVB.pdb.gz,6EW8
5TUU.pdb.gz,6EVP
5TUT.pdb.gz,6EB2
5TUN.pdb.gz,6EB1
5TUJ.pdb.gz,6EBR
5TUH.pdb.gz,6EBB
5TTT.pdb.gz,6EB6
5TT7.pdb.gz,6EB7
5TSY.pdb.gz,6EB9
5TSL.pdb.gz,6ECM
5TSK.pdb.gz,6EBU
5TRW.pdb.gz,6EBX
5TRV.pdb.gz,6EEG
5TR6.pdb.gz,6EEK
5TQJ.pdb.gz,6EEB
5TQ8.pdb.gz,6EDV
5TQ5.pdb.gz,6EDX
5TQ4.pdb.gz,6EF7
5TQ1.pdb.gz,6EF9
5TPX.pdb.gz,6EGN
5TPK.pdb.gz,6EGC
5TPJ.pdb.gz,6EVO
5TPI.pdb.gz,6EVQ
5TPH.pdb.gz,6EW2
5TP6.pdb.gz,6EW4
5TP5.pdb.gz,6EW6
5TP3.pdb.gz,6EVI
5TP0.pdb.gz,6EVL
5TOI.pdb.gz,6EVN
5TOH.pdb.gz,6EVM
5TOE.pdb.gz,6F9A
5TOB.pdb.gz,6EX9
5TO8.pdb.gz,6F99
5TO5.pdb.gz,6EWH
5TO4.pdb.gz,6EWL
5TNW.pdb.gz,6EWN
5TNT.pdb.gz,6EYE
5TNO.pdb.gz,6F9Z
5TNC.pdb.gz,6EXY
5TN2.pdb.gz,6F9Y
5TMX.pdb.gz,6EXT
5TMP.pdb.gz,6EXU
5TLQ.pdb.gz,6F9X
5TLB.pdb.gz,6F9W
5TL9.pdb.gz,6F9K
5TKZ.pdb.gz,6EZ4
5TKW.pdb.gz,6EYM
5TKU.pdb.gz,6EZW
5TKT.pdb.gz,6FA0
5TKS.pdb.gz,6FBK
5TKQ.pdb.gz,6FD1
5TKA.pdb.gz,6FC6
5TK9.pdb.gz,6FC5
5TK8.pdb.gz,6FBX
5TK7.pdb.gz,6FDP
5TK6.pdb.gz,6FDR
5TK5.pdb.gz,6FD7
5TK4.pdb.gz,5JOM
5TK0.pdb.gz,5JOB
5TJZ.pdb.gz,5K0I
5TJY.pdb.gz,5K26
5TJX.pdb.gz,5K28
5TJO.pdb.gz,5K1G
5TJN.pdb.gz,5JQZ
5TJL.pdb.gz,5K2N
5TJK.pdb.gz,5K2Q
5TJC.pdb.gz,5K2P
5TJB.pdb.gz,5K2S
5TJA.pdb.gz,5K34
5TIZ.pdb.gz,5K2R
5TIY.pdb.gz,5K2K
5TIV.pdb.gz,5JQA
5TIU.pdb.gz,5JRN
5TIF.pdb.gz,5JRM
5TIE.pdb.gz,5JS5
5TID.pdb.gz,5JRA
5TI7.pdb.gz,5JT4
5TI6.pdb.gz,5K4F
5TI5.pdb.gz,5JSL
5TI4.pdb.gz,5JU9
5TI3.pdb.gz,5K68
5TI2.pdb.gz,5K5P
5TI0.pdb.gz,5JTS
5THX.pdb.gz,5JU7
5THN.pdb.gz,5K67
5THJ.pdb.gz,5JTH
5THI.pdb.gz,5K5H
5TH7.pdb.gz,5K5G
5TH4.pdb.gz,5K5J
5TGY.pdb.gz,5K5I
5TGW.pdb.gz,5K5F
5TGQ.pdb.gz,5KIM
5TGL.pdb.gz,5KIO
5TGK.pdb.gz,5KJ0
5TGE.pdb.gz,5KIG
5TG7.pdb.gz,5KII
5TG6.pdb.gz,5KHZ
5TG5.pdb.gz,5KI3
5TG4.pdb.gz,5KHT
5TG2.pdb.gz,5KI8
5TG1.pdb.gz,5KHY
5TG0.pdb.gz,5KJO
5TFX.pdb.gz,5KJQ
5TFV.pdb.gz,5KIX
5TFQ.pdb.gz,5KJ9
5TFP.pdb.gz,5KIZ
5TFJ.pdb.gz,5KL3
5TFI.pdb.gz,5KL2
5TFG.pdb.gz,5KL5
5TFF.pdb.gz,5KKE
5TFD.pdb.gz,5KKJ
5TFC.pdb.gz,5KKI
5TFB.pdb.gz,5KKK
5TFA.pdb.gz,5KJY
5TF8.pdb.gz,5KJX
5TF7.pdb.gz,5KJZ
5TF3.pdb.gz,5KM6
5TEX.pdb.gz,5KL7
5TEO.pdb.gz,5KL6
5TEL.pdb.gz,5KNW
5TE9.pdb.gz,5L19
5TDY.pdb.gz,5L0I
5TDQ.pdb.gz,5L0N
5TDI.pdb.gz,5L0M
5TDC.pdb.gz,5KP0
5TD6.pdb.gz,5L0H
5TD5.pdb.gz,5L1M
5TCX.pdb.gz,5KPE
5TCL.pdb.gz,5L1A
5TCB.pdb.gz,5KQX
5TC8.pdb.gz,5KQZ
5TC7.pdb.gz,5KQY
5TC6.pdb.gz,5KQL
5TC2.pdb.gz,5KQM
5TBX.pdb.gz,5KQP
5TBV.pdb.gz,5KR1
5TBU.pdb.gz,5KR0
5TBT.pdb.gz,5L33
5TBS.pdb.gz,5KQC
5TBM.pdb.gz,5KQG
5TB6.pdb.gz,5KQJ
5TA4.pdb.gz,5KQB
5TA2.pdb.gz,5KQA
5T91.pdb.gz,5KRU
5T86.pdb.gz,5KS6
5T84.pdb.gz,5KRT
5T76.pdb.gz,5KS5
5T75.pdb.gz,5KRW
5T74.pdb.gz,5L3Y
5T72.pdb.gz,5KRS
5T71.pdb.gz,5L3I
5T57.pdb.gz,5L3H
5T53.pdb.gz,5KSY
5T51.pdb.gz,5KSO
5T48.pdb.gz,5KTX
5T44.pdb.gz,5KU3
5T43.pdb.gz,5KTI
5T39.pdb.gz,5KTH
5T38.pdb.gz,5KTJ
5T37.pdb.gz,5KTA
5T36.pdb.gz,5KTC
5T21.pdb.gz,5KTD
5T18.pdb.gz,5L79
5T9Z.pdb.gz,5KUW
5T9W.pdb.gz,5KUZ
5T9C.pdb.gz,5KV1
5T9B.pdb.gz,5L71
5T09.pdb.gz,5KUO
5T8Z.pdb.gz,5KV0
5T8W.pdb.gz,5KUR
5T8R.pdb.gz,5KV3
5T8N.pdb.gz,5L6R
5T8L.pdb.gz,5KUQ
5T8J.pdb.gz,5KV2
5T8H.pdb.gz,5KV5
5T8E.pdb.gz,5KUS
5T7U.pdb.gz,5KV4
5T7T.pdb.gz,5L74
5T7S.pdb.gz,5KUV
5T7R.pdb.gz,5KV7
5T7N.pdb.gz,5KUU
5T7L.pdb.gz,5KV6
5T7K.pdb.gz,5KUG
5T7J.pdb.gz,5KUJ
5T7I.pdb.gz,5KUI
5T7C.pdb.gz,5KUL
5T7A.pdb.gz,5KUN
5T6U.pdb.gz,5KUE
5T6J.pdb.gz,5KVP
5T5S.pdb.gz,5L85
5T5G.pdb.gz,5KVK
5T5D.pdb.gz,5KVB
5T4X.pdb.gz,5KWR
5T4V.pdb.gz,5L8T
5T4U.pdb.gz,5L97
5T3Y.pdb.gz,5L8U
5T3U.pdb.gz,5L96
5T3J.pdb.gz,5KX9
5T3I.pdb.gz,5L99
5T3H.pdb.gz,5L98
5T3G.pdb.gz,5KXZ
5T3F.pdb.gz,5KXS
5T3A.pdb.gz,5KXR
5T2Z.pdb.gz,5KXT
5T2W.pdb.gz,5KXW
5T2V.pdb.gz,5KXY
5T2R.pdb.gz,5KXX
5T2Q.pdb.gz,5KXK
5T1I.pdb.gz,5L9J
5T01.pdb.gz,5KXM
5T0X.pdb.gz,5KXL
5T0S.pdb.gz,5KXO
5T0R.pdb.gz,5KXN
5T0Q.pdb.gz,5L9N
5T0F.pdb.gz,5KXP
5SZX.pdb.gz,5KY1
5SZW.pdb.gz,5KXF
5SZC.pdb.gz,5KZA
5SZB.pdb.gz,5KZB
5SZ7.pdb.gz,5KZ9
5SZ6.pdb.gz,5KYL
5SZ5.pdb.gz,5KYI
5SZ4.pdb.gz,5KZV
5SZ3.pdb.gz,5KZZ
5SZ2.pdb.gz,5LAB
5SZ1.pdb.gz,5LAG
5SZ0.pdb.gz,5LAF
5SYZ.pdb.gz,5LA5
5SYD.pdb.gz,5LA8
5SYB.pdb.gz,5LAM
5SYA.pdb.gz,5LAO
5SY9.pdb.gz,5LAN
5SY6.pdb.gz,5LCI
5SXL.pdb.gz,5LC7
5SWD.pdb.gz,5LC6
5SW7.pdb.gz,5LBN
5SW2.pdb.gz,1YM8
5SW1.pdb.gz,1YMD
5SW0.pdb.gz,1YMC
5SVI.pdb.gz,1YMB
5SVH.pdb.gz,1YMA
5SV8.pdb.gz,1YLQ
5SV6.pdb.gz,1YMW
5SV5.pdb.gz,1YMV
5SV4.pdb.gz,1YNA
5SV2.pdb.gz,1YML
5SUZ.pdb.gz,1YMK
5SUX.pdb.gz,1YMR
5SUW.pdb.gz,1YN3
5SGA.pdb.gz,1YMN
5RSA.pdb.gz,1YNX
5RNT.pdb.gz,1Z09
5RKY.pdb.gz,1Z07
5RKX.pdb.gz,1Z0F
5RKW.pdb.gz,1YOA
5RKV.pdb.gz,1Z06
5RKU.pdb.gz,1YO5
5RKT.pdb.gz,1Z00
5RKS.pdb.gz,1YOY
5RKR.pdb.gz,1YOI
5RKQ.pdb.gz,1Z0I
5RKP.pdb.gz,1YOH
5RKO.pdb.gz,1YOG
5RKN.pdb.gz,1YP7
5RKM.pdb.gz,1YP6
5RKL.pdb.gz,1Z0R
5RKK.pdb.gz,1Z13
5RKJ.pdb.gz,1Z12
5RKI.pdb.gz,1Z1Z
5RKH.pdb.gz,1Z2F
5RKG.pdb.gz,1Z2E
5RKF.pdb.gz,1Z2D
5RKE.pdb.gz,1YQB
5RKD.pdb.gz,1Z2A
5RKC.pdb.gz,1Z1M
5RKB.pdb.gz,1Z1H
5RKA.pdb.gz,1YQ8
5RK9.pdb.gz,1Z27
5RK8.pdb.gz,1Z1S
5RK7.pdb.gz,1Z24
5RK6.pdb.gz,1Z1R
5RK5.pdb.gz,1Z23
5RK4.pdb.gz,1Z22
5RK3.pdb.gz,1Z21
5RK2.pdb.gz,1Z3D
5RK1.pdb.gz,1YR1
5RK0.pdb.gz,1YQN
5RJZ.pdb.gz,1Z2M
5RJY.pdb.gz,1Z2K
5RJX.pdb.gz,1Z2U
5RJW.pdb.gz,1YR5
5RJV.pdb.gz,1YSA
5RJU.pdb.gz,1Z4J
5RJT.pdb.gz,1YSI
5RJS.pdb.gz,1Z4I
5RJR.pdb.gz,1YSG
5RJQ.pdb.gz,1YSF
5RJP.pdb.gz,1YSE
5RJO.pdb.gz,1Z3P
5RJN.pdb.gz,1YS0
5RJM.pdb.gz,1YRN
5RJL.pdb.gz,1Z3M
5RJK.pdb.gz,1Z3L
5RJJ.pdb.gz,1YRK
5RJI.pdb.gz,1Z3J
5RHN.pdb.gz,1YRV
5RAT.pdb.gz,1YS5
5R89.pdb.gz,1Z43
5R88.pdb.gz,1YTC
5R87.pdb.gz,1YTJ
5R86.pdb.gz,1YTI
5R85.pdb.gz,1Z5F
5R8Q.pdb.gz,1Z4R
5R8P.pdb.gz,1YSQ
5R8O.pdb.gz,1Z4Q
5R8N.pdb.gz,1YSP
5R8M.pdb.gz,1Z4P
5R8L.pdb.gz,1YSO
5R8K.pdb.gz,1YSN
5R8J.pdb.gz,1Z4M
5R8I.pdb.gz,1Z4L
5R8H.pdb.gz,1Z4K
5R8G.pdb.gz,1YT9
5R8F.pdb.gz,1YSW
5R8E.pdb.gz,1Z55
5R8D.pdb.gz,1YUA
5R8C.pdb.gz,1Z6I
5R8B.pdb.gz,1YU9
5R8A.pdb.gz,1Z67
5R7W.pdb.gz,1YVD
5R4Z.pdb.gz,1Z7C
5R4Y.pdb.gz,1YUT
5R4X.pdb.gz,1YUS
5R4W.pdb.gz,1YV4
5R4V.pdb.gz,1YUR
5R4O.pdb.gz,1Z6N
5R4N.pdb.gz,1Z6M
5R4M.pdb.gz,1YV7
5R4L.pdb.gz,1YUU
5R4K.pdb.gz,1YV6
5R4J.pdb.gz,1YWD
5R4I.pdb.gz,1YWC
